time,race1,race2,supplyUsed1,supplyUsed2,supplyMade1,supplyMade2,totalIncome1,totalIncome2,mineralsIncome1,mineralsIncome2,vespeneIncome1,vespeneIncome2,totalResources1,totalResources2,minerals1,minerals2,vespene1,vespene2,activeWorkers1,activeWorkers2,army1,army2,technology1,technology2,lostResources1,lostResources2,winner
100,1,0,20.0,20.0,22.0,23.0,911,962,867,783,44,179,168,383,160,345,8,38,18,19,0,0,0,150,0,0,1
493,1,0,149.0,128.0,160.0,157.0,4574,2899,3723,2183,851,716,1075,1626,406,995,669,631,90,61,3650,4675,1700,2000,1043,0,1
507,1,0,110.0,121.0,166.0,157.0,4562,2966,3667,2183,895,783,2107,764,1226,470,881,294,90,61,1550,3325,2150,2000,3418,1300,1
779,1,0,94.0,167.0,148.0,204.0,2994,3252,2323,2491,671,761,5730,1143,2749,765,2981,378,72,58,750,5950,2025,3475,15328,10175,1
100,2,0,20.0,20.0,23.0,23.0,1040,883,951,727,89,156,156,394,120,360,36,34,20,19,0,0,150,150,0,0,1
621,2,0,133.0,166.0,148.0,187.0,3655,3566,2827,2603,828,963,1923,552,1460,268,463,284,64,72,4325,5200,2750,3375,3300,2124,1
643,2,0,86.0,151.0,148.0,187.0,3498,3431,2715,2491,783,940,1805,946,1450,468,355,478,64,71,600,4450,3550,3575,7625,3799,1
721,2,0,79.0,170.0,125.0,187.0,3090,4109,2127,2967,963,1142,2824,1575,2235,813,589,762,65,73,175,5675,3150,4125,12450,5624,1
